xb,yb,zb
1.0,0.0,0.1764705882352943
1.0,0.0,0.235294117647059
1.0,0.0,0.2941176470588239
1.0,0.0,0.3529411764705889
1.0,0.0,0.4117647058823538
1.0,0.0,0.4705882352941187
1.0,0.0,0.5294117647058832
1.0,0.0,0.5882352941176479
1.0,0.0,0.6470588235294124
1.0,0.0,0.7058823529411768
1.0,0.0,0.7647058823529413
1.0,0.0,0.823529411764706
1.0,0.0,0.8823529411764703
1.0,0.0,0.941176470588235
0.05882352941176477,0.0,1.0
0.1176470588235296,0.0,1.0
0.1764705882352943,0.0,1.0
0.235294117647059,0.0,1.0
0.2941176470588239,0.0,1.0
0.3529411764705889,0.0,1.0
0.4117647058823538,0.0,1.0
0.4705882352941187,0.0,1.0
0.5294117647058832,0.0,1.0
0.5882352941176479,0.0,1.0
0.6470588235294124,0.0,1.0
0.7058823529411768,0.0,1.0
0.7647058823529413,0.0,1.0
0.823529411764706,0.0,1.0
0.8823529411764703,0.0,1.0
0.941176470588235,0.0,1.0
0.4993147673772864,-1.222928073375134e-16,0.02616797812148214
0.4972609476841356,-1.217897832083459e-16,0.05226423163383662
0.4938441702975674,-1.209529417489082e-16,0.07821723252012452
0.489073800366901,-1.197845766834728e-16,0.1039558454088884
0.4829629131445319,-1.182878904194717e-16,0.1294095225512687
0.4755282581475742,-1.164669852699214e-16,0.1545084971874816
0.4667902132485982,-1.143268522092671e-16,0.1791839747726572
0.4567727288212975,-1.118733571934693e-16,0.2033683215379067
0.4455032620941808,-1.091132250818259e-16,0.2269952498697796
0.433012701892216,-1.060540212046005e-16,0.2500000000000058
0.4193352839727085,-1.02704130626978e-16,0.2723195175075189
0.4045084971874701,-9.907273516618342e-17,0.2938926261462415
0.3885729807284821,-9.516978822475986e-17,0.3146601955249229
0.3715724127386937,-9.100598750898304e-17,0.3345653031794328
0.3535533905932704,-8.659274570719273e-17,0.3535533905932771
0.3345653031794258,-8.194215920840696e-17,0.3715724127387001
0.3146601955249155,-7.706697494696061e-17,0.3885729807284881
0.2938926261462335,-7.198055546404441e-17,0.404508497187476
0.2723195175075105,-6.66968422819083e-17,0.419335283972714
0.2499999999999972,-6.123031769111817e-17,0.433012701892221
0.2269952498697708,-5.559596505560389e-17,0.4455032620941853
0.2033683215378977,-4.980922774430034e-17,0.4567727288213015
0.1791839747726483,-4.388596680194674e-17,0.4667902132486015
0.1545084971874722,-3.784241747506507e-17,0.4755282581475773
0.1294095225512591,-3.169514471227842e-17,0.4829629131445345
0.1039558454088787,-2.546099776093792e-17,0.489073800366903
0.0782172325201147,-1.915706398450695e-17,0.493844170297569
0.0522642316338263,-1.280062202728563e-17,0.4972609476841367
0.02616797812147177,-6.409094454847857e-18,0.499314767377287
0.05882352941176477,1.0,1.0
0.1176470588235296,1.0,1.0
0.1764705882352943,1.0,1.0
0.235294117647059,1.0,1.0
0.2941176470588239,1.0,1.0
0.3529411764705889,1.0,1.0
0.4117647058823538,1.0,1.0
0.4705882352941187,1.0,1.0
0.5294117647058832,1.0,1.0
0.5882352941176479,1.0,1.0
0.6470588235294124,1.0,1.0
0.7058823529411768,1.0,1.0
0.7647058823529413,1.0,1.0
0.823529411764706,1.0,1.0
0.8823529411764703,1.0,1.0
0.941176470588235,1.0,1.0
