xt,yt,zt
-0.19798173,-0.94991857,-0.24178104
-0.20934175,-0.81707084,-0.53718835
-0.2225124,-0.7857869,-0.577085
-0.27136606,-0.76743,-0.58087146
-0.23503397,-0.752375,-0.61537856
-0.28355983,-0.73296714,-0.61834687
-0.24683644,-0.71690583,-0.65201056
-0.29499274,-0.69650453,-0.65411055
-0.25784898,-0.6794205,-0.68695104
-0.18579794,-0.76991147,-0.6105044
-0.20950904,-0.69896793,-0.6837762
-0.22020692,-0.66049016,-0.71781725
-0.19548646,-0.8460815,-0.4959145
-0.45219797,-0.18938322,-0.8715795
-0.2298809,-0.9524101,-0.20017445
-0.75450176,-0.26272687,-0.6014164
-0.7815758,-0.22199133,-0.5829744
-0.8878372,-0.3932309,-0.23898672
-0.6892529,-0.6954178,-0.20328444
-0.65085596,-0.7290504,-0.21183023
-0.724877,-0.66309917,-0.18668939
-0.22476275,-0.16943184,-0.95957005
-0.46997777,-0.3353342,-0.81649977
-0.9532201,-0.17552152,-0.2460967
-0.9385894,-0.1784272,-0.29531974
-0.94831485,-0.26033667,-0.18144883
-0.16577792,-0.9449299,-0.28217953
-0.6339225,-0.7295712,-0.25664768
-0.6044729,-0.76478976,-0.22295563
-0.9651177,-0.17268994,-0.19678912
-0.90168715,-0.38943958,-0.18787527
-0.8777014,-0.43264422,-0.20605639
-0.17942378,-0.9643651,-0.1944403
-0.18653023,-0.20959656,-0.9598311
-0.6674521,-0.7254779,-0.16789764
-0.35917994,-0.9181388,-0.16736472
-0.40680274,-0.89737815,-0.17095016
-0.4249089,-0.87916267,-0.21569738
-0.4533895,-0.8742125,-0.17375432
-0.47107708,-0.8547637,-0.21786559
-0.49897242,-0.84869564,-0.17533463
-0.8904661,-0.42795882,-0.15466532
-0.86515635,-0.47094774,-0.17237371
-0.7762593,-0.17436822,-0.6058194
-0.8065869,-0.18063582,-0.5628393
-0.17258237,-0.67916733,-0.71340525
-0.1824847,-0.63968253,-0.74666303
-0.2303462,-0.62034255,-0.7497438
-0.59070283,-0.4103284,-0.69476664
-0.34189397,-0.79098994,-0.5073888
-0.33128828,-0.7116131,-0.6195601
-0.78438395,-0.26825455,-0.55926853
-0.311336,-0.15263775,-0.9379614
-0.8002492,-0.13342546,-0.58463573
-0.3418058,-0.6741938,-0.6546996
-0.5153738,-0.8284772,-0.21912417
-0.17852171,-0.1641775,-0.97014207
-0.54307324,-0.82101154,-0.17610094
