xa,ya,za
0.3630584072940001,0.1958456189051024,0.282547494147128
0.2433748772412355,0.3914134480924373,0.1938148131082927
0.2207916144526455,0.4045867684454207,0.1938055979229853
0.2654261278979461,0.377211093058186,0.193030468846117
0.2046357944988393,0.4026843128968363,0.2144050739992682
0.1975121848533695,0.4166218995668975,0.1934299088448279
0.3982514048017199,0.2401484824744258,0.183642383285251
0.3823461562750375,0.259927373253179,0.1903921674213702
0.1811051074762326,0.4141388839024662,0.2137520172677719
0.1737355770537733,0.4275327929119529,0.1924361199221642
0.4179888107416098,0.1785946611278916,0.2083009868229822
0.4291426342001936,0.1783104291782311,0.1845047163570457
0.213329612337012,0.4179344641458764,0.1726883324930764
0.3934801708288589,0.2595412858248792,0.1667683306772014
0.3770988117174086,0.2789151651245901,0.173213212154388
0.1570887937301821,0.4244739899413453,0.2124733930346833
0.1494824591722141,0.4372622161287676,0.1909365044877125
0.4305144435625958,0.1571739338101591,0.1998841374762595
0.4410055996732678,0.1566734405777891,0.1759758337793558
0.439013782162577,0.1776058174497002,0.1603841409844912
0.450321629678137,0.1557199202721114,0.1515313046022969
0.3133529014552369,0.2090832460935017,0.3287767561014446
0.4187174541218796,0.1578696248408371,0.2230535253393342
0.1642363876264956,0.4105265163733742,0.2334403314205607
0.3877369433389116,0.2780835370497393,0.1494309512520881
0.3708190584205672,0.2971617247718185,0.1555253524115022
0.4035057871548209,0.2584192679533288,0.142837535973686
0.1399997404039944,0.420289060487235,0.2318559430369891
0.1469387188302479,0.4057718946107861,0.2525038266096148
0.1098678982275364,0.2551207811975074,0.4157432283756853
0.4477199926625002,0.1764237348562098,0.1357257306102144
0.4584120508029098,0.1543100859477841,0.1266759213641565
0.4416864216750556,0.136041773917972,0.1908028842998352
0.4603905668725227,0.1333936830169335,0.1422907279690952
0.3808115326687974,0.2959260388702905,0.131948308458202
0.363503696920812,0.3146070306502997,0.1374317233767513
0.3528942581230941,0.3153273706562024,0.1613514545915126
0.3450876607628608,0.3323407289481616,0.1430529491881286
0.2152142179916893,0.2922386259093038,0.3439177603742901
0.2585531573164894,0.3916644572897059,0.1724796154263882
0.3654864009429218,0.2789201474007993,0.1965279677290391
0.1658976540428309,0.4397065673587915,0.1706930080719
0.141438243106322,0.4488561252744332,0.1688887272455425
0.1576426969874805,0.4506911868549945,0.1484123787887983
0.1329782055061081,0.4592239229402508,0.1463905238044522
0.1248235631862177,0.4458041604926679,0.1888854906045564
0.3306910321180668,0.1902931900140132,0.3231593153708839
